"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Delete file","LMS service","Tue Nov 18 10:24:02 UTC 2025","passed","Tue Nov 18 10:24:02 UTC 2025","Delete entity","Files","",""
"","14","Get exercise","LMS service","Tue Nov 18 10:23:58 UTC 2025","passed","Tue Nov 18 10:23:58 UTC 2025","Get entity","Exercises","",""
"","31","Update course","LMS service","Tue Nov 18 10:23:56 UTC 2025","passed","Tue Nov 18 10:23:56 UTC 2025","Update entity","Courses","",""
"","7","Get file with incorrect file id","LMS service","Tue Nov 18 10:24:02 UTC 2025","passed","Tue Nov 18 10:24:02 UTC 2025","Validate entity","Files","",""
"","271","Create user","LMS service","Tue Nov 18 10:24:02 UTC 2025","passed","Tue Nov 18 10:24:02 UTC 2025","Create entity","Users","",""
"","19","Update exercise","LMS service","Tue Nov 18 10:23:57 UTC 2025","passed","Tue Nov 18 10:23:57 UTC 2025","Update entity","Exercises","",""
"","13","Get exercises","LMS service","Tue Nov 18 10:23:59 UTC 2025","passed","Tue Nov 18 10:23:59 UTC 2025","Get entities","Exercises","",""
"","250","Create file","LMS service","Tue Nov 18 10:23:59 UTC 2025","passed","Tue Nov 18 10:24:00 UTC 2025","Create entity","Files","",""
"","272","Delete exercise","LMS service","Tue Nov 18 10:23:58 UTC 2025","passed","Tue Nov 18 10:23:59 UTC 2025","Delete entity","Exercises","",""
"","498","Create user","LMS service","Tue Nov 18 10:24:02 UTC 2025","passed","Tue Nov 18 10:24:03 UTC 2025","Create entity","Users","",""
"","14","Create file with empty directory","LMS service","Tue Nov 18 10:24:01 UTC 2025","passed","Tue Nov 18 10:24:01 UTC 2025","Validate entity","Files","",""
"","22","Create exercise","LMS service","Tue Nov 18 10:23:57 UTC 2025","passed","Tue Nov 18 10:23:57 UTC 2025","Create entity","Exercises","",""
"","29","Create course","LMS service","Tue Nov 18 10:23:55 UTC 2025","passed","Tue Nov 18 10:23:56 UTC 2025","Create entity","Courses","",""
"","12","Get file","LMS service","Tue Nov 18 10:24:00 UTC 2025","passed","Tue Nov 18 10:24:00 UTC 2025","Get entity","Files","",""
"","22","Get courses","LMS service","Tue Nov 18 10:23:55 UTC 2025","passed","Tue Nov 18 10:23:55 UTC 2025","Get entities","Courses","",""
"","768","Create user","LMS service","Tue Nov 18 10:24:02 UTC 2025","passed","Tue Nov 18 10:24:03 UTC 2025","Create entity","Users","",""
"","247","Create file with empty filename","LMS service","Tue Nov 18 10:24:01 UTC 2025","passed","Tue Nov 18 10:24:01 UTC 2025","Validate entity","Files","",""
"","268","Login with correct email and password","LMS service","Tue Nov 18 10:23:54 UTC 2025","passed","Tue Nov 18 10:23:54 UTC 2025","Login","Authentication","",""
"","10","Get user me","LMS service","Tue Nov 18 10:24:03 UTC 2025","passed","Tue Nov 18 10:24:03 UTC 2025","Get entity","Users","",""
